Marker file version: 1
Time format: Time
sp	00:00:00.00000000	00:00:10.46496875	
ap	00:00:10.46497917	00:00:11.06468750	
k	00:00:11.06469792	00:00:11.12435417	
ah	00:00:11.12436458	00:00:11.19998958	
m	00:00:11.20000000	00:00:11.30411458	
s	00:00:11.30412500	00:00:11.41246875	
t	00:00:11.41247917	00:00:11.45833333	
aa	00:00:11.45834375	00:00:11.56982292	
p	00:00:11.56983333	00:00:11.71840625	
y	00:00:11.71841667	00:00:11.78260417	
uw	00:00:11.78261458	00:00:12.01016667	
k	00:00:12.01017708	00:00:12.04458333	
r	00:00:12.04459375	00:00:12.09998958	
ay	00:00:12.10000000	00:00:12.39998958	
ih	00:00:12.40000000	00:00:12.65238542	
n	00:00:12.65239583	00:00:12.69998958	
ih	00:00:12.70000000	00:00:12.97370833	
t	00:00:12.97371875	00:00:12.99998958	
ah	00:00:13.00000000	00:00:13.13766667	
l	00:00:13.13767708	00:00:13.29998958	
b	00:00:13.30000000	00:00:13.32786458	
ih	00:00:13.32787500	00:00:13.64065625	
ao	00:00:13.64066667	00:00:14.09998958	
l	00:00:14.10000000	00:00:14.17170833	
r	00:00:14.17171875	00:00:14.23853125	
ay	00:00:14.23854167	00:00:14.55478125	
t	00:00:14.55479167	00:00:14.77017708	
sp	00:00:14.77018750	00:00:15.61837500	
ap	00:00:15.61838542	00:00:16.02532292	
jh	00:00:16.02533333	00:00:16.09998958	
ah	00:00:16.10000000	00:00:16.16316667	
s	00:00:16.16317708	00:00:16.37834375	
t	00:00:16.37835417	00:00:16.42762500	
ey	00:00:16.42763542	00:00:16.57050000	
k	00:00:16.57051042	00:00:16.68733333	
m	00:00:16.68734375	00:00:16.74321875	
ay	00:00:16.74322917	00:00:16.89998958	
hh	00:00:16.90000000	00:00:17.04950000	
ae	00:00:17.04951042	00:00:17.39998958	
n	00:00:17.40000000	00:00:17.50983333	
d	00:00:17.50984375	00:00:17.58153125	
ap	00:00:17.58154167	00:00:18.09998958	
hh	00:00:18.10000000	00:00:18.27533333	
ow	00:00:18.27534375	00:00:18.78370833	
l	00:00:18.78371875	00:00:18.85366667	
d	00:00:18.85367708	00:00:18.89998958	
ih	00:00:18.90000000	00:00:18.96531250	
t	00:00:18.96532292	00:00:19.12137500	
t	00:00:19.12138542	00:00:19.21809375	
ay	00:00:19.21810417	00:00:19.83921875	
t	00:00:19.83922917	00:00:19.97825000	
sp	00:00:19.97826042	00:00:20.71484375	
ap	00:00:20.71485417	00:00:21.04788542	
hh	00:00:21.04789583	00:00:21.14150000	
ay	00:00:21.14151042	00:00:21.38391667	
w	00:00:21.38392708	00:00:21.45413542	
ih	00:00:21.45414583	00:00:21.59998958	
l	00:00:21.60000000	00:00:21.72612500	
pr	00:00:21.72613542	00:00:21.78515625	
ah	00:00:21.78516667	00:00:21.98363542	
t	00:00:21.98364583	00:00:22.05783333	
eh	00:00:22.05784375	00:00:22.29998958	
k	00:00:22.30000000	00:00:22.32511458	
t	00:00:22.32512500	00:00:22.37557292	
y	00:00:22.37558333	00:00:22.42545833	
uw	00:00:22.42546875	00:00:22.59998958	
f	00:00:22.60000000	00:00:22.69998958	
r	00:00:22.70000000	00:00:22.76210417	
ah	00:00:22.76211458	00:00:22.89998958	
m	00:00:22.90000000	00:00:23.07644792	
sp	00:00:23.07645833	00:00:23.32002083	
ah	00:00:23.32003125	00:00:23.84467708	
l	00:00:23.84468750	00:00:23.97022917	
er	00:00:23.97023958	00:00:24.23151042	
r	00:00:24.23152083	00:00:24.27942708	
aw	00:00:24.27943750	00:00:24.69998958	
n	00:00:24.70000000	00:00:24.77146875	
d	00:00:24.77147917	00:00:24.84073958	
y	00:00:24.84075000	00:00:24.89998958	
uw	00:00:24.90000000	00:00:25.27422917	
sp	00:00:25.27423958	00:00:25.59998958	
ap	00:00:25.60000000	00:00:26.02261458	
hh	00:00:26.02262500	00:00:26.09998958	
ay	00:00:26.10000000	00:00:26.35583333	
w	00:00:26.35584375	00:00:26.42252083	
ih	00:00:26.42253125	00:00:26.61294792	
l	00:00:26.61295833	00:00:26.66158333	
b	00:00:26.66159375	00:00:26.69998958	
iy	00:00:26.70000000	00:00:26.86675000	
hh	00:00:26.86676042	00:00:27.04287500	
er	00:00:27.04288542	00:00:27.47297917	
sp	00:00:27.47298958	00:00:27.59998958	
d	00:00:27.60000000	00:00:27.64739583	
aa	00:00:27.64740625	00:00:27.79998958	
n	00:00:27.80000000	00:00:27.88319792	
t	00:00:27.88320833	00:00:28.03116667	
y	00:00:28.03117708	00:00:28.13707292	
uw	00:00:28.13708333	00:00:28.44633333	
k	00:00:28.44634375	00:00:28.61212500	
r	00:00:28.61213542	00:00:28.66734375	
ay	00:00:28.66735417	00:00:29.28511458	
sp	00:00:29.28512500	00:00:30.64484375	
ap	00:00:30.64485417	00:00:30.99998958	
f	00:00:31.00000000	00:00:31.09998958	
ao	00:00:31.10000000	00:00:31.24831250	
r	00:00:31.24832292	00:00:31.33987500	
w	00:00:31.33988542	00:00:31.39998958	
ah	00:00:31.40000000	00:00:31.48765625	
n	00:00:31.48766667	00:00:31.54669792	
s	00:00:31.54670833	00:00:31.71386458	
ow	00:00:31.71387500	00:00:31.78383333	
s	00:00:31.78384375	00:00:31.96704167	
m	00:00:31.96705208	00:00:32.03667708	
ao	00:00:32.03668750	00:00:32.32810417	
l	00:00:32.32811458	00:00:32.42654167	
ap	00:00:32.42655208	00:00:32.79998958	
sp	00:00:32.80000000	00:00:32.87950000	
y	00:00:32.87951042	00:00:32.92775000	
uw	00:00:32.92776042	00:00:33.04771875	
s	00:00:33.04772917	00:00:33.21819792	
iy	00:00:33.21820833	00:00:33.29998958	
m	00:00:33.30000000	00:00:33.39998958	
s	00:00:33.40000000	00:00:33.54086458	
ow	00:00:33.54087500	00:00:33.89998958	
s	00:00:33.90000000	00:00:34.08753125	
t	00:00:34.08754167	00:00:34.13903125	
r	00:00:34.13904167	00:00:34.19998958	
ao	00:00:34.20000000	00:00:34.52871875	
ng	00:00:34.52872917	00:00:34.67105208	
sp	00:00:34.67106250	00:00:35.47896875	
ap	00:00:35.47897917	00:00:35.99998958	
m	00:00:36.00000000	00:00:36.03527083	
ay	00:00:36.03528125	00:00:36.33847917	
aa	00:00:36.33848958	00:00:36.43650000	
r	00:00:36.43651042	00:00:36.50881250	
m	00:00:36.50882292	00:00:36.56738542	
s	00:00:36.56739583	00:00:36.65802083	
w	00:00:36.65803125	00:00:36.69998958	
ih	00:00:36.70000000	00:00:36.79998958	
l	00:00:36.80000000	00:00:36.85917708	
hh	00:00:36.85918750	00:00:36.95181250	
ow	00:00:36.95182292	00:00:37.18412500	
l	00:00:37.18413542	00:00:37.23083333	
d	00:00:37.23084375	00:00:37.28303125	
y	00:00:37.28304167	00:00:37.32075000	
uw	00:00:37.32076042	00:00:37.39998958	
sp	00:00:37.40000000	00:00:37.53729167	
